node_id,is_ad,ego_original_size,ego_was_subsampled,H0_invalid_count,H0_count,H0_total_persistence,H0_max_persistence,H0_mean_persistence,H0_median_persistence,H0_std_persistence,H0_entropy,H0_infinite_count,H1_invalid_count,H1_count,H1_total_persistence,H1_max_persistence,H1_mean_persistence,H1_median_persistence,H1_std_persistence,H1_entropy,H1_infinite_count,H2_invalid_count,H2_count,H2_total_persistence,H2_max_persistence,H2_mean_persistence,H2_median_persistence,H2_std_persistence,H2_entropy,H2_infinite_count,degree,clustering_coefficient,ego_size_1hop,ego_edges_1hop,ego_density_1hop,ego_size_2hop,ego_edges_2hop,ego_density_2hop
154,1,9405,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,325,0.01889838556505223,326,1320,0.02491741387446909,9405,95329,0.002155676625666999
156,1,6138,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,54,54.0,1.0,1.0,1.0,0.0,3.988984041164275,0,0,83,83.0,1.0,1.0,1.0,0.0,4.418840599496599,0,98,0.03240058910162003,99,252,0.05194805194805195,6138,76919,0.0040839518939042195
6300,1,5400,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,61,61.0,1.0,1.0,1.0,0.0,4.11087385807331,0,0,64,64.0,1.0,1.0,1.0,0.0,4.158883076959672,0,75,0.04576576576576576,76,202,0.07087719298245614,5400,75791,0.005199248146090154
160,1,10205,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,326,0.028371873525247757,327,1829,0.03431455319787621,10205,103450,0.0019869046752472013
2213,1,1793,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,85,85.0,1.0,1.0,1.0,0.0,4.442651247990316,0,0,56,56.0,1.0,1.0,1.0,0.0,4.025351685135149,0,15,0.11428571428571428,16,27,0.225,1793,26020,0.016196418612062783
6310,1,10151,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,469,0.011171249977220127,470,1695,0.01537903189221068,10151,101138,0.0019632223377735116
177,1,3706,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,25,25.0,1.0,1.0,1.0,0.0,3.2188758223682012,0,0,2,2.0,1.0,1.0,1.0,0.0,0.6931471803599453,0,20,0.07368421052631578,21,34,0.1619047619047619,3706,44566,0.006491424709392727
183,1,6133,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,62,62.0,1.0,1.0,1.0,0.0,4.12713437884509,0,0,5,5.0,1.0,1.0,1.0,0.0,1.6094379119341005,0,29,0.1330049261083744,30,83,0.19080459770114944,6133,78200,0.004158738738566261
6342,1,6195,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,85,85.0,1.0,1.0,1.0,0.0,4.442651247990316,0,0,185,185.0,1.0,1.0,1.0,0.0,5.220355806578324,0,70,0.040993788819875775,71,169,0.06800804828973843,6195,80503,0.004195942700673905
2247,1,4745,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,60,60.0,1.0,1.0,1.0,0.0,4.094344556222101,0,0,107,107.0,1.0,1.0,1.0,0.0,4.672828823761908,0,47,0.03885291396854764,48,89,0.07890070921985816,4745,66506,0.0059089447132598975
