node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
6423,24,3361,300,2608,True,40823,0.7737488746643066,1,91,33,16,1,82,31,16,0,9,2,0,True,Tau
8473,954,17040,300,6136,True,1197874,4.326358079910278,1,0,0,0,1,39,64,66,0,-39,-64,-66,True,Tau
6446,66,9956,300,4132,True,210121,2.418600082397461,1,50,108,42,1,59,97,41,0,-9,11,1,True,Tau
308,219,13799,300,6173,True,704698,3.5533077716827393,1,9,44,120,1,27,82,152,0,-18,-38,-32,True,Amyloid
2358,136,5412,300,1874,True,5530,1.0818438529968262,1,238,104,0,1,322,85,0,0,-84,19,0,True,Amyloid
55611,348,14422,300,5440,True,400804,3.290863275527954,1,0,0,0,1,59,128,167,0,-59,-128,-167,True,Tau
322,190,13191,300,5022,True,385300,3.101184844970703,1,21,36,37,1,44,57,52,0,-23,-21,-15,True,Amyloid
323,79,10998,300,2209,True,29838,2.3169729709625244,1,41,48,6,1,46,43,5,0,-5,5,1,True,Amyloid
325,26,5591,300,1680,True,15509,1.0323138236999512,1,26,19,1,1,19,19,1,0,7,0,0,True,Amyloid
6477,214,11743,300,2981,True,44890,2.4668679237365723,1,42,117,12,1,148,78,7,0,-106,39,5,True,Tau
335,180,11117,300,2317,True,26110,2.281747817993164,1,60,108,10,1,118,119,5,0,-58,-11,5,True,Amyloid
337,19,5632,300,3716,True,210797,1.2188689708709717,1,19,14,9,1,13,13,9,0,6,1,0,True,Amyloid
344,39,4781,300,3187,True,148447,1.125399112701416,1,48,10,0,1,35,8,0,0,13,2,0,True,Amyloid
8536,87,10685,300,5719,True,624227,3.0607709884643555,1,54,87,128,1,45,63,124,0,9,24,4,True,Tau
348,162,12695,300,3883,True,720550,3.4005930423736572,1,33,37,16,1,60,45,16,0,-27,-8,0,True,Both
351,2367,18023,300,1500,True,15857,2.977055311203003,1,0,0,0,1,126,7,0,0,-126,-7,0,True,Both
355,352,13750,300,2057,True,18312,2.7683939933776855,1,0,0,0,1,170,67,3,0,-170,-67,-3,True,Amyloid
356,92,6608,300,1724,True,11476,1.322941780090332,1,74,9,0,2,92,9,0,-1,-18,0,0,True,Amyloid
84335,29,8600,300,6391,True,863625,3.282661199569702,1,6,30,42,1,5,29,42,0,1,1,0,True,Tau
372,237,15059,300,6995,True,1131008,4.413383960723877,1,14,58,88,1,32,124,137,0,-18,-66,-49,True,Amyloid
10615,180,12111,300,3341,True,48386,2.6324241161346436,1,47,58,55,1,138,121,64,0,-91,-63,-9,True,Tau
26999,165,13466,300,5450,True,538502,3.2871251106262207,1,28,52,83,1,45,68,91,0,-17,-16,-8,True,Tau
55679,20,5604,300,1678,True,13855,1.06038498878479,1,41,13,0,1,39,11,0,0,2,2,0,True,Tau
55690,45,10811,300,4154,True,90815,2.4019699096679688,1,57,174,156,1,62,167,152,0,-5,7,4,True,Amyloid
4504,8,2681,300,6490,True,1339262,2.3174729347229004,1,1,3,5,1,0,3,5,0,1,0,0,True,Amyloid
22943,23,6794,300,4773,True,178780,1.850417137145996,1,16,7,7,1,10,7,7,0,6,0,0,True,Both
2475,327,15145,300,5073,True,477027,3.2651169300079346,1,0,0,0,1,119,105,81,0,-119,-105,-81,True,Tau
29108,81,7854,300,2986,True,45985,1.9283430576324463,1,125,103,24,1,133,100,24,0,-8,3,0,True,Amyloid
2487,12,4252,300,7656,True,2018167,3.6952321529388428,1,15,12,18,1,7,12,18,0,8,0,0,True,Tau
158135,7,4763,300,7106,True,3049585,5.66552996635437,1,15,59,66,1,13,59,66,0,2,0,0,True,Tau
55737,263,14497,300,5150,True,356694,3.1857450008392334,1,10,37,70,1,69,151,120,0,-59,-114,-50,True,Amyloid
57787,72,10499,300,4912,True,337974,2.7053470611572266,1,29,54,58,1,35,41,45,0,-6,13,13,True,Tau
8650,218,14281,300,5798,True,561138,3.526432752609253,1,22,88,98,1,37,150,140,0,-15,-62,-42,True,Amyloid
51667,53,11504,300,5587,True,390670,2.868062973022461,1,9,58,75,1,9,58,74,0,0,0,1,True,Tau
468,93,10037,300,2152,True,22835,2.2583701610565186,1,67,77,16,1,78,66,14,0,-11,11,2,True,Amyloid
27102,27,6532,300,4330,True,611385,2.1800382137298584,1,84,65,16,1,80,61,16,0,4,4,0,True,Tau
6622,989,16834,300,4383,True,291875,3.3564109802246094,1,0,0,0,1,54,79,69,0,-54,-79,-69,True,Both
84447,327,14002,300,3768,True,186775,2.885255813598633,1,0,0,0,1,109,81,34,0,-109,-81,-34,True,Tau
84446,35,6941,300,5685,True,432008,2.195495128631592,1,25,57,121,1,23,47,121,0,2,10,0,True,Tau
2534,370,14099,300,3868,True,158661,2.891007900238037,1,0,0,0,1,120,109,67,0,-120,-109,-67,True,Tau
8678,198,13475,300,4685,True,213484,2.9162521362304688,1,28,80,118,1,61,121,126,0,-33,-41,-8,True,Amyloid
10728,434,14913,300,4429,True,268644,3.2100231647491455,1,0,0,0,1,85,100,54,0,-85,-100,-54,True,Tau
2550,42,5799,300,3217,True,154737,1.2730576992034912,1,33,12,15,1,37,12,15,0,-4,0,0,True,Tau
6647,420,14691,300,5108,True,322811,3.1784629821777344,1,0,0,0,1,55,151,168,0,-55,-151,-168,True,Tau
6653,133,11896,300,1853,True,24300,2.457219123840332,1,104,68,7,1,101,56,7,0,3,12,0,True,Both
4609,2982,18719,300,5312,True,309476,3.437209129333496,1,0,0,0,1,34,105,69,0,-34,-105,-69,True,Both
4613,1370,17061,300,5877,True,726154,3.7777700424194336,1,0,0,0,1,53,132,115,0,-53,-132,-115,True,Amyloid
6667,339,14742,300,5764,True,624553,3.352841854095459,1,0,0,0,1,42,78,53,0,-42,-78,-53,True,Amyloid
23057,23,6677,300,2040,True,20099,1.3359947204589844,1,98,41,1,1,91,40,1,0,7,1,0,True,Tau
55829,60,8273,300,3865,True,159422,1.9514689445495605,1,41,64,24,1,43,58,20,0,-2,6,4,True,Tau
8728,34,3971,300,3989,True,194578,0.9432189464569092,1,39,14,4,1,22,14,4,0,17,0,0,True,Amyloid
51738,17,3279,300,4571,True,841836,1.5888829231262207,1,99,49,18,1,90,49,18,0,9,0,0,True,Tau
6683,82,11738,300,4840,True,362237,2.9327430725097656,1,20,71,150,1,21,58,117,0,-1,13,33,True,Tau
51741,619,15618,300,4215,True,350813,3.35152268409729,1,0,0,0,1,71,60,21,0,-71,-60,-21,True,Tau
