node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
1649,117,10915,300,4466,True,267107,2.458345890045166,1,27,48,21,1,38,42,16,0,-11,6,5,Glioblastoma,DDIT3,2025-11-28T23:44:59.018991
6262,51,8155,300,3731,True,193380,1.856429100036621,1,28,54,32,1,28,44,32,0,0,10,0,Glioblastoma,RYR2,2025-11-28T23:45:00.876100
8826,560,16809,300,8892,True,2588087,6.0443339347839355,1,0,0,0,1,23,81,197,0,-23,-81,-197,Glioblastoma,IQGAP1,2025-11-28T23:45:06.921301
5243,95,8850,300,2465,True,26853,2.0429341793060303,1,135,78,68,1,164,69,68,0,-29,9,0,Glioblastoma,ABCB1,2025-11-28T23:45:08.965021
58508,143,13288,300,7489,True,601688,3.188347101211548,1,36,183,240,1,42,187,231,0,-6,-4,9,Glioblastoma,KMT2C,2025-11-28T23:45:12.153916
2194,406,16049,300,8448,True,3297667,7.3397698402404785,1,0,0,0,1,31,70,69,0,-31,-70,-69,Glioblastoma,FASN,2025-11-28T23:45:19.494531
56979,8,2639,300,4987,True,273101,0.8840329647064209,1,7,2,0,1,5,2,0,0,2,0,0,Glioblastoma,PRDM9,2025-11-28T23:45:20.379222
2199,52,3964,300,5730,True,1347394,2.422165870666504,1,88,40,4,1,77,40,4,0,11,0,0,Glioblastoma,FBLN2,2025-11-28T23:45:22.802043
667,286,15269,300,6113,True,640155,3.3763861656188965,1,6,8,13,1,61,133,162,0,-55,-125,-149,Glioblastoma,DST,2025-11-28T23:45:26.179103
4763,178,12776,300,5515,True,2467988,5.401537895202637,1,32,83,61,1,57,92,71,0,-25,-9,-10,Glioblastoma,NF1,2025-11-28T23:45:31.581295
5789,129,9778,300,2369,True,28538,1.989001989364624,1,169,101,9,1,160,88,9,0,9,13,0,Glioblastoma,PTPRD,2025-11-28T23:45:33.570914
673,166,12578,300,6269,True,879231,3.6318042278289795,1,25,102,141,1,29,95,121,0,-4,7,20,Glioblastoma,BRAF,2025-11-28T23:45:37.203410
128674,5,568,300,4031,True,641005,0.7706089019775391,1,211,104,9,1,210,104,9,0,1,0,0,Glioblastoma,PROKR2,2025-11-28T23:45:37.975020
84643,50,5403,300,4619,True,345839,1.6105468273162842,1,79,105,49,1,73,100,49,0,6,5,0,Glioblastoma,KIF2B,2025-11-28T23:45:39.586185
140453,4,4071,300,4169,True,196403,1.0466830730438232,1,2,1,0,1,1,1,0,0,1,0,0,Glioblastoma,MUC17,2025-11-28T23:45:40.633527
5290,155,12515,300,3877,True,104159,2.60610294342041,1,47,117,79,1,76,129,67,0,-29,-12,12,Glioblastoma,PIK3CA,2025-11-28T23:45:43.240271
145581,2,1247,300,937,True,5088,0.07617306709289551,1,3,0,0,1,2,0,0,0,1,0,0,Glioblastoma,LRFN5,2025-11-28T23:45:43.317026
173,12,1828,300,2915,True,212614,0.46018218994140625,1,15,1,0,1,9,1,0,0,6,0,0,Glioblastoma,AFM,2025-11-28T23:45:43.777652
2735,122,11232,300,4303,True,159206,2.586111068725586,1,37,99,164,1,45,94,143,0,-8,5,21,Glioblastoma,GLI1,2025-11-28T23:45:46.364364
5295,360,14599,300,4716,True,195524,2.9331612586975098,1,0,0,0,1,65,126,144,0,-65,-126,-144,Glioblastoma,PIK3R1,2025-11-28T23:45:49.298199
285877,1,3153,300,4093,True,179311,0.7005329132080078,1,0,0,0,1,0,0,0,0,0,0,0,Glioblastoma,POM121L12,2025-11-28T23:45:49.999368
6335,8,3147,300,3359,True,99723,0.7520890235900879,1,13,3,6,1,8,3,6,0,5,0,0,Glioblastoma,SCN9A,2025-11-28T23:45:50.752088
27328,7,4278,300,6217,True,636055,1.6010470390319824,1,4,2,6,1,2,2,6,0,2,0,0,Glioblastoma,PCDH11X,2025-11-28T23:45:52.353759
4288,659,15784,300,7558,True,1469873,4.486741065979004,1,0,0,0,1,14,43,87,0,-14,-43,-87,Glioblastoma,MKI67,2025-11-28T23:45:56.841248
170690,5,1386,300,7041,True,1127642,1.8362088203430176,1,5,3,4,1,1,3,4,0,4,0,0,Glioblastoma,ADAMTS16,2025-11-28T23:45:58.678420
84674,10,3376,300,6249,True,501129,1.2699809074401855,1,29,111,280,1,25,111,280,0,4,0,0,Glioblastoma,CARD6,2025-11-28T23:45:59.949464
2243,94,11523,300,2216,True,21953,2.408669948577881,1,68,109,13,1,74,121,10,0,-6,-12,3,Glioblastoma,FGA,2025-11-28T23:46:02.359456
