node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
217,132,12736,300,6003,True,881831,3.281073808670044,1,16,45,62,1,28,55,75,0,-12,-10,-13,Fanconi Anemia,ALDH2,2025-11-28T23:41:39.349551
7516,24,4410,300,6053,True,1004221,1.9162700176239014,1,49,69,119,1,44,69,119,0,5,0,0,Fanconi Anemia,XRCC2,2025-11-28T23:41:41.266529
216,51,8282,300,4293,True,115160,1.8166940212249756,1,35,29,25,1,23,26,25,0,12,3,0,Fanconi Anemia,ALDH1A1,2025-11-28T23:41:43.084614
197342,5,2414,300,3141,True,62006,0.43805694580078125,1,38,64,4,1,35,64,4,0,3,0,0,Fanconi Anemia,EME2,2025-11-28T23:41:43.523077
10459,320,13186,300,2066,True,18473,2.303377866744995,1,0,0,0,1,282,79,0,0,-282,-79,0,Fanconi Anemia,MAD2L2,2025-11-28T23:41:45.826931
64858,34,7183,300,5099,True,443955,2.0325236320495605,1,6,18,5,1,5,16,4,0,1,2,1,Fanconi Anemia,DCLRE1B,2025-11-28T23:41:47.860021
57697,63,9669,300,2268,True,35068,1.8829050064086914,1,26,41,13,1,30,37,13,0,-4,4,0,Fanconi Anemia,FANCM,2025-11-28T23:41:49.743505
6117,3050,18878,300,5676,True,1039280,3.724961042404175,1,0,0,0,1,22,46,23,0,-22,-46,-23,Fanconi Anemia,RPA1,2025-11-28T23:41:53.469078
6118,2900,18635,300,6116,True,1854038,4.64767599105835,1,0,0,0,1,22,36,1,0,-22,-36,-1,Fanconi Anemia,RPA2,2025-11-28T23:41:58.117432
6119,2877,18623,300,6141,True,1993404,4.908225059509277,1,0,0,0,1,12,6,2,0,-12,-6,-2,Fanconi Anemia,RPA3,2025-11-28T23:42:03.026779
7398,128,10164,300,4750,True,368837,2.509254217147827,1,41,68,33,1,44,39,20,0,-3,29,13,Fanconi Anemia,USP1,2025-11-28T23:42:05.536976
80233,100,10505,300,1702,True,15477,1.9656991958618164,1,72,16,0,1,80,9,0,0,-8,7,0,Fanconi Anemia,C17orf70,2025-11-28T23:42:07.503308
5610,347,14579,300,6189,True,2015439,4.724555015563965,1,0,0,0,1,29,78,50,0,-29,-78,-50,Fanconi Anemia,EIF2AK2,2025-11-28T23:42:12.228447
79728,84,9939,300,4597,True,254672,2.1156468391418457,1,68,74,67,1,72,65,64,0,-4,9,3,Fanconi Anemia,PALB2,2025-11-28T23:42:14.345750
84464,571,15676,300,7350,True,1593404,4.338487863540649,1,0,0,0,1,24,58,91,0,-24,-58,-91,Fanconi Anemia,SLX4,2025-11-28T23:42:18.684914
548593,26,3147,300,4970,True,414477,1.0450117588043213,1,47,41,43,1,36,41,43,0,11,0,0,Fanconi Anemia,SLX1A,2025-11-28T23:42:19.730576
55284,94,9364,300,3606,True,103479,1.7815568447113037,1,58,149,24,1,47,96,24,0,11,53,0,Fanconi Anemia,UBE2W,2025-11-28T23:42:21.512703
22909,56,8035,300,6557,True,903834,2.70794415473938,1,31,90,89,1,24,76,89,0,7,14,0,Fanconi Anemia,FAN1,2025-11-28T23:42:24.221316
51455,32,9485,300,5315,True,496173,2.308573007583618,1,14,23,14,1,18,15,14,0,-4,8,0,Fanconi Anemia,REV1,2025-11-28T23:42:26.531081
