node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,project,timestamp
207,578,216,16232,300,6038,True,119.62,6070,468.97180682851285,1,0,0,0,1,132,125,2,-132,-125,-2,1,0,0,0,1,132,125,2,-132,-125,-2,1,0,0,0,1,132,125,2,-132,-125,-2,1,0,0,0,1,111,207,10,-111,-207,-10,1,0,0,0,1,71,156,105,-71,-156,-105,1,0,0,0,1,33,97,75,-33,-97,-75,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,19.971428571428557,99,-1.0000000000000124,110,-19.485714285714277,103,4.101611852645874,Alzheimer's Disease,2025-11-29T23:06:33.358996
4082,603,96,15625,300,7644,True,45.23,1482,178.46836442350224,1,0,0,0,1,25,133,113,-25,-133,-113,1,0,0,0,1,25,133,113,-25,-133,-113,1,0,0,0,1,25,133,113,-25,-133,-113,1,0,0,0,1,25,133,113,-25,-133,-113,1,0,0,0,1,27,194,193,-27,-194,-193,1,0,0,0,1,10,98,315,-10,-98,-315,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,1.971428571428568,17,-0.22857142857144894,96,-35.71428571428571,202,6.489694833755493,Alzheimer's Disease,2025-11-29T23:06:39.850526
1432,304,136,13963,300,3580,True,49.78333333333333,2319,217.75715002931338,1,0,0,0,1,129,86,6,-129,-86,-6,1,0,0,0,1,129,86,6,-129,-86,-6,1,0,0,0,1,129,86,6,-129,-86,-6,1,0,0,0,1,129,86,6,-129,-86,-6,1,0,0,0,1,127,103,29,-127,-103,-29,1,0,0,0,1,99,86,48,-99,-86,-48,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,4.457142857142852,30,-1.4571428571428624,17,-7.971428571428569,42,3.2822282314300537,Alzheimer's Disease,2025-11-29T23:06:43.133530
5058,190,99,13093,300,4677,True,44.52,2208,205.2163970056974,1,33,67,21,1,45,81,27,-12,-14,-6,1,33,67,21,1,45,81,27,-12,-14,-6,1,33,67,21,1,45,81,27,-12,-14,-6,1,33,67,21,1,45,81,27,-12,-14,-6,1,33,106,83,1,45,138,82,-12,-32,1,1,26,52,81,1,36,81,77,-10,-29,4,8.982146526069662e-17,0,-0.9999999999999971,7,1.2000000000000073,54,13.88571428571428,62,0.28571428571428437,2,-3.685714285714285,18,2.0285714285714267,10,3.352627992630005,Alzheimer's Disease,2025-11-29T23:06:46.486704
6850,223,45,12282,300,3988,True,32.61666666666667,2208,159.87106176193643,1,47,103,7,2,117,126,14,-70,-23,-7,1,47,103,7,2,117,126,14,-70,-23,-7,1,47,103,7,2,117,126,14,-70,-23,-7,1,47,103,7,2,117,126,14,-70,-23,-7,1,33,107,25,2,92,150,13,-59,-43,12,1,17,134,139,2,62,197,85,-45,-63,54,8.982146526069662e-17,0,-5.485714285714281,30,4.771428571428575,31,20.399999999999988,132,4.514285714285711,25,-7.428571428571429,40,10.342857142857138,61,2.9145798683166504,Alzheimer's Disease,2025-11-29T23:06:49.401801
5128,63,122,11080,300,2298,True,76.13,6070,433.7775387223271,1,77,16,4,1,75,15,2,2,1,2,1,77,16,4,1,75,15,2,2,1,2,1,77,16,4,1,75,15,2,2,1,2,1,77,16,4,1,75,15,2,2,1,2,1,100,34,4,1,97,33,2,3,1,2,1,47,28,23,1,46,31,15,1,-3,8,8.982146526069662e-17,0,-2.3142857142857096,53,3.257142857142857,18,2.7142857142857135,19,-0.05714285714285697,2,-0.5714285714285712,4,0.8571428571428569,6,2.392850875854492,Alzheimer's Disease,2025-11-29T23:06:51.795103
5129,130,91,11838,300,4453,True,55.67333333333333,2319,245.3620725014814,1,48,81,17,1,78,72,16,-30,9,1,1,48,81,17,1,78,72,16,-30,9,1,1,48,81,17,1,78,72,16,-30,9,1,1,48,81,17,1,78,72,16,-30,9,1,1,47,122,40,1,77,117,38,-30,5,2,1,35,103,81,1,65,99,71,-30,4,10,8.982146526069662e-17,0,-1.942857142857132,13,6.65714285714286,41,11.114285714285712,64,-9.580956294474307e-16,0,-1.0571428571428565,5,1.371428571428571,9,3.233747959136963,Alzheimer's Disease,2025-11-29T23:06:55.029412
5063,30,218,5817,300,3120,True,40.9,3080,241.16444596996465,1,26,27,2,1,21,26,2,5,1,0,1,26,27,2,1,21,26,2,5,1,0,1,26,27,2,1,21,26,2,5,1,0,1,26,27,2,1,21,26,2,5,1,0,1,27,25,1,1,22,24,1,5,1,0,1,27,35,6,1,21,33,6,6,2,0,8.982146526069662e-17,0,0.22857142857143026,1,0.9714285714285722,10,0.4857142857142856,5,0.14285714285714302,1,0.1428571428571429,1,0.0,0,1.4374041557312012,Alzheimer's Disease,2025-11-29T23:06:56.467302
2289,416,118,15041,300,4404,True,55.64333333333333,2319,235.8175625115502,1,0,0,0,1,137,115,21,-137,-115,-21,1,0,0,0,1,137,115,21,-137,-115,-21,1,0,0,0,1,137,115,21,-137,-115,-21,1,0,0,0,1,137,115,21,-137,-115,-21,1,0,0,0,1,135,177,25,-135,-177,-25,1,0,0,0,1,61,46,37,-61,-46,-37,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,11.028571428571418,76,4.542857142857126,131,-2.62857142857143,16,3.8018548488616943,Alzheimer's Disease,2025-11-29T23:07:00.269631
2288,277,181,14881,300,6082,True,60.25,2319,250.97653442768973,1,16,21,43,1,66,151,182,-50,-130,-139,1,16,21,43,1,66,151,182,-50,-130,-139,1,16,21,43,1,66,151,182,-50,-130,-139,1,16,21,43,1,66,151,182,-50,-130,-139,1,10,19,31,1,61,141,200,-51,-122,-169,1,9,7,14,1,42,79,68,-33,-72,-54,8.982146526069662e-17,0,-1.5142857142857131,7,-2.1714285714285686,14,-5.171428571428566,29,2.342857142857137,18,8.971428571428566,58,9.571428571428555,115,4.738360643386841,Alzheimer's Disease,2025-11-29T23:07:05.008505
2280,110,51,11664,300,3206,True,56.586666666666666,6070,382.14453088967383,1,85,75,39,1,102,79,27,-17,-4,12,1,85,75,39,1,102,79,27,-17,-4,12,1,85,75,39,1,102,79,27,-17,-4,12,1,85,75,39,1,102,79,27,-17,-4,12,1,68,97,49,1,85,94,40,-17,3,9,1,63,131,63,1,75,123,54,-12,8,9,8.982146526069662e-17,0,-4.599999999999996,22,9.88571428571429,56,4.285714285714286,24,0.7142857142857127,5,2.3142857142857136,12,-0.685714285714285,3,2.723548173904419,Alzheimer's Disease,2025-11-29T23:07:07.732646
54106,69,0,8211,300,5760,True,64.07,2319,248.28802850721578,1,47,37,32,1,38,29,32,9,8,0,1,47,37,32,1,38,29,32,9,8,0,1,47,37,32,1,38,29,32,9,8,0,1,47,37,32,1,38,29,32,9,8,0,1,44,115,71,1,40,94,71,4,21,0,1,34,88,48,1,32,69,48,2,19,0,8.982146526069662e-17,0,-2.114285714285714,13,13.97142857142857,78,5.62857142857143,39,-1.428571428571427,7,2.6857142857142855,13,0.0,0,3.3097801208496094,Alzheimer's Disease,2025-11-29T23:07:11.042987
