node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,is_ad,timestamp
2100,2291,3,18007,300,3771,True,43.44,1482,172.38379583553282,1,0,0,0,1,149,68,1,-149,-68,-1,1,0,0,0,1,149,68,1,-149,-68,-1,1,0,0,0,1,149,68,1,-149,-68,-1,1,0,0,0,1,149,68,1,-149,-68,-1,1,0,0,0,1,97,102,7,-97,-102,-7,1,0,0,0,1,61,82,22,-61,-82,-22,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,17.028571428571425,88,-4.914285714285715,34,-3.5142857142857133,21,3.457846164703369,True,2025-11-29T23:06:25.125431
120892,482,10,14793,300,5152,True,61.29666666666667,2319,241.7104369327527,1,0,0,0,1,154,177,6,-154,-177,-6,1,0,0,0,1,154,177,6,-154,-177,-6,1,0,0,0,1,154,177,6,-154,-177,-6,1,0,0,0,1,154,177,6,-154,-177,-6,1,0,0,0,1,101,267,49,-101,-267,-49,1,0,0,0,1,48,68,35,-48,-68,-35,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,19.685714285714266,106,7.857142857142836,199,-7.8285714285714265,43,3.7435240745544434,True,2025-11-29T23:06:28.869737
90,58,25,7855,300,2884,True,28.49,1446,121.21128894070331,1,160,87,1,1,176,81,1,-16,6,0,1,160,87,1,1,176,81,1,-16,6,0,1,160,87,1,1,176,81,1,-16,6,0,1,160,87,1,1,176,81,1,-16,6,0,1,164,100,1,1,180,94,1,-16,6,0,1,145,166,36,1,166,152,36,-21,14,0,8.982146526069662e-17,0,-1.7999999999999878,19,12.4,79,4.999999999999998,35,-0.7142857142857154,5,1.1428571428571426,8,0.0,0,1.717237949371338,True,2025-11-29T23:06:30.587462
2147,41,0,8190,300,3658,True,28.23,2208,159.23204378097603,1,29,31,19,1,37,29,19,-8,2,0,1,29,31,19,1,37,29,19,-8,2,0,1,29,31,19,1,37,29,19,-8,2,0,1,29,31,19,1,37,29,19,-8,2,0,1,29,39,23,1,38,37,23,-9,2,0,1,24,33,23,1,28,25,23,-4,8,0,8.982146526069662e-17,0,-0.7142857142857137,5,0.9714285714285746,8,0.9142857142857157,4,0.4857142857142842,5,0.8571428571428569,6,0.0,0,2.356719732284546,True,2025-11-29T23:06:32.944641
102,90,32,11946,300,4700,True,23.876666666666665,666,86.74027201299802,1,61,44,12,1,105,40,12,-44,4,0,1,61,44,12,1,105,40,12,-44,4,0,1,61,44,12,1,105,40,12,-44,4,0,1,61,44,12,1,105,40,12,-44,4,0,1,45,61,27,1,92,55,27,-47,6,0,1,29,55,22,1,65,47,21,-36,8,1,8.982146526069662e-17,0,-5.942857142857138,32,3.0285714285714294,17,2.7142857142857144,15,0.8857142857142812,11,0.742857142857143,4,0.14285714285714277,1,4.398921251296997,True,2025-11-29T23:06:37.345075
53353,70,32,10644,300,1809,True,55.653333333333336,6070,382.20047072475217,1,104,19,1,1,92,17,1,12,2,0,1,104,19,1,1,92,17,1,12,2,0,1,104,19,1,1,92,17,1,12,2,0,1,104,19,1,1,92,17,1,12,2,0,1,127,21,1,1,113,19,1,14,2,0,1,57,44,8,1,50,41,8,7,3,0,8.982146526069662e-17,0,-4.742857142857129,70,3.7428571428571424,25,0.9999999999999996,7,-0.5428571428571407,7,0.14285714285714296,1,0.0,0,2.4846699237823486,True,2025-11-29T23:06:39.830361
8301,265,730,14357,300,5999,True,37.36333333333334,2208,165.9424337600911,1,6,17,21,1,73,131,84,-67,-114,-63,1,6,17,21,1,73,131,84,-67,-114,-63,1,6,17,21,1,73,131,84,-67,-114,-63,1,6,17,21,1,73,131,84,-67,-114,-63,1,9,30,50,1,75,155,180,-66,-125,-130,1,9,26,43,1,66,122,99,-57,-96,-56,8.982146526069662e-17,0,0.6857142857142862,3,2.400000000000001,13,5.628571428571429,29,1.5142857142857131,10,1.6285714285714128,29,-4.742857142857147,74,4.473484039306641,True,2025-11-29T23:06:44.304485
116,29,0,3745,300,4573,True,35.36333333333334,3080,228.38700631943914,1,72,176,45,2,58,176,45,14,0,0,1,72,176,45,2,58,176,45,14,0,0,1,72,176,45,2,58,176,45,14,0,0,1,72,176,45,2,58,176,45,14,0,0,1,72,176,45,2,58,176,45,14,0,0,1,51,134,124,2,36,134,124,15,0,0,8.982146526069662e-17,0,-2.9999999999999933,21,-5.999999999999995,42,11.285714285714283,79,0.14285714285714313,1,0.0,0,0.0,0,1.863253116607666,True,2025-11-29T23:06:46.168250
4214,151,44,12498,300,4863,True,53.22666666666667,3080,248.08997418051558,1,48,128,100,1,54,121,95,-6,7,5,1,48,128,100,1,54,121,95,-6,7,5,1,48,128,100,1,54,121,95,-6,7,5,1,48,128,100,1,54,121,95,-6,7,5,1,52,167,198,1,61,164,183,-9,3,15,1,43,104,187,1,47,93,152,-4,11,35,8.982146526069662e-17,0,-0.3714285714285681,9,-0.08571428571427803,63,20.82857142857143,98,0.028571428571427523,5,0.22857142857142893,8,5.1428571428571415,30,3.2015020847320557,True,2025-11-29T23:06:49.370257
8312,147,16,12548,300,4614,True,56.52,3080,264.46556726097,1,62,115,25,1,104,129,13,-42,-14,12,1,62,115,25,1,104,129,13,-42,-14,12,1,62,115,25,1,104,129,13,-42,-14,12,1,62,115,25,1,104,129,13,-42,-14,12,1,61,133,49,1,104,141,36,-43,-8,13,1,50,134,97,1,95,155,86,-45,-21,11,8.982146526069662e-17,0,-1.7999999999999936,12,4.257142857142865,19,12.342857142857143,72,-0.514285714285716,3,-0.4857142857142864,13,-0.057142857142856246,2,3.0316479206085205,True,2025-11-29T23:06:52.402481
