node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
10808,442,15843,300,9106,True,3887427,8.36412000656128,1,0,0,0,1,7,39,71,0,-7,-39,-71,Alzheimer's Disease,HSPH1,2025-11-28T23:04:39.572423
6714,533,15948,300,4020,True,135408,2.9314117431640625,1,0,0,0,1,84,136,97,0,-84,-136,-97,Alzheimer's Disease,SRC,2025-11-28T23:04:42.504389
573,473,15222,300,5678,True,857076,3.497549057006836,1,0,0,0,1,38,73,88,0,-38,-73,-88,Alzheimer's Disease,BAG1,2025-11-28T23:04:46.002593
4671,10,3003,300,1926,True,12287,0.43254685401916504,1,19,14,6,1,13,14,6,0,6,0,0,Alzheimer's Disease,NAIP,2025-11-28T23:04:46.435700
6721,131,12039,300,3372,True,97993,2.4268221855163574,1,34,29,26,1,89,26,17,0,-55,3,9,Alzheimer's Disease,SREBF2,2025-11-28T23:04:48.863097
6733,716,16017,300,4676,True,729834,3.542382001876831,1,0,0,0,1,51,53,41,0,-51,-53,-41,Alzheimer's Disease,SRPK2,2025-11-28T23:04:52.406630
590,62,7553,300,3687,True,287276,1.9355738162994385,1,127,50,19,1,126,49,19,0,1,1,0,Alzheimer's Disease,BCHE,2025-11-28T23:04:54.343983
150094,60,10693,300,3758,True,97976,2.276432991027832,1,49,94,72,1,47,84,72,0,2,10,0,Alzheimer's Disease,SIK1,2025-11-28T23:04:56.620977
2641,25,2950,300,4787,True,661590,1.2837550640106201,1,63,68,33,1,53,68,33,0,10,0,0,Alzheimer's Disease,GCG,2025-11-28T23:04:57.905449
598,189,13098,300,3641,True,80599,2.6408369541168213,1,61,144,120,1,100,169,87,0,-39,-25,33,Alzheimer's Disease,BCL2L1,2025-11-28T23:05:00.572097
2648,174,11347,300,5726,True,394929,2.7879600524902344,1,36,119,119,1,42,116,104,0,-6,3,15,Alzheimer's Disease,KAT2A,2025-11-28T23:05:03.360964
219736,14,3353,300,7934,True,3837086,6.620750188827515,1,13,8,1,1,4,8,1,0,9,0,0,Alzheimer's Disease,STOX1,2025-11-28T23:05:09.982399
84570,9,6010,300,1719,True,15706,1.0449230670928955,1,4,3,0,1,2,3,0,0,2,0,0,Alzheimer's Disease,COL25A1,2025-11-28T23:05:11.027875
6750,2,36,36,78,False,176,0.0025131702423095703,1,5,0,0,1,4,0,0,0,1,0,0,Alzheimer's Disease,SST,2025-11-28T23:05:11.031070
10858,4,1090,300,5801,True,3824827,5.947885036468506,1,4,0,0,1,2,0,0,0,2,0,0,Alzheimer's Disease,CYP46A1,2025-11-28T23:05:16.979308
623,31,2969,300,4955,True,369665,1.0230917930603027,1,96,62,60,1,83,61,60,0,13,1,0,Alzheimer's Disease,BDKRB1,2025-11-28T23:05:18.003066
627,42,8051,300,2843,True,62485,1.5788989067077637,1,274,85,13,1,265,83,13,0,9,2,0,Alzheimer's Disease,BDNF,2025-11-28T23:05:19.582580
642,130,13626,300,5805,True,451570,3.00313401222229,1,29,87,108,1,39,95,116,0,-10,-8,-8,Alzheimer's Disease,BLMH,2025-11-28T23:05:22.586354
146057,20,6743,300,4555,True,200382,1.609374761581421,1,17,25,57,1,14,23,57,0,3,2,0,Alzheimer's Disease,TTBK2,2025-11-28T23:05:24.196435
6794,264,13495,300,2993,True,124028,2.6600279808044434,1,20,58,15,1,123,47,5,0,-103,11,10,Alzheimer's Disease,STK11,2025-11-28T23:05:26.857836
197259,54,7965,300,4278,True,151872,1.888056755065918,1,42,104,81,1,34,90,81,0,8,14,0,Alzheimer's Disease,MLKL,2025-11-28T23:05:28.746458
8851,54,9761,300,5326,True,448120,2.505871295928955,1,43,43,21,1,40,33,20,0,3,10,1,Alzheimer's Disease,CDK5R1,2025-11-28T23:05:31.252966
84630,24,6022,300,5453,True,330710,1.7405750751495361,1,41,102,170,1,37,98,170,0,4,4,0,Alzheimer's Disease,TTBK1,2025-11-28T23:05:32.994221
6812,135,12609,300,4243,True,326099,2.8350441455841064,1,21,55,61,1,41,55,51,0,-20,0,10,Alzheimer's Disease,STXBP1,2025-11-28T23:05:35.829936
4780,159,11924,300,3934,True,147557,2.4721789360046387,1,37,85,49,1,55,81,43,0,-18,4,6,Alzheimer's Disease,NFE2L2,2025-11-28T23:05:38.302879
8877,34,6761,300,3820,True,110108,1.5443179607391357,1,92,104,29,1,84,100,29,0,8,4,0,Alzheimer's Disease,SPHK1,2025-11-28T23:05:39.847936
8878,1219,17592,300,5292,True,329265,3.1470158100128174,1,0,0,0,1,64,173,122,0,-64,-173,-122,Alzheimer's Disease,SQSTM1,2025-11-28T23:05:42.995763
8883,94,11902,300,6550,True,1569963,4.451069116592407,1,19,19,39,1,23,20,33,0,-4,-1,6,Alzheimer's Disease,NAE1,2025-11-28T23:05:47.447546
