node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
1938,546,17017,300,10989,True,7120975,14.459512948989868,1,0,0,0,1,11,47,100,0,-11,-47,-100,False,Non-AD
7186,596,15766,300,2766,True,38862,2.7823431491851807,1,0,0,0,1,165,192,12,0,-165,-192,-12,False,Non-AD
9401,1415,16901,300,5919,True,705571,3.706780195236206,1,0,0,0,1,58,71,74,0,-58,-71,-74,False,Non-AD
9928,1811,17507,300,5453,True,386365,3.3412232398986816,1,0,0,0,1,52,122,116,0,-52,-122,-116,False,Non-AD
10963,1022,17399,300,8485,True,2495064,6.218039035797119,1,0,0,0,1,20,45,97,0,-20,-45,-97,False,Non-AD
1213,668,16981,300,6021,True,627202,3.6468679904937744,1,0,0,0,1,46,121,99,0,-46,-121,-99,False,Non-AD
4000,1259,17825,300,5120,True,555238,3.5045831203460693,1,0,0,0,2,48,69,97,-1,-48,-69,-97,False,Non-AD
11091,1088,17200,300,7092,True,1382494,4.457223176956177,1,0,0,0,1,29,103,123,0,-29,-103,-123,False,Non-AD
2260,614,15043,300,2839,True,50501,2.7078678607940674,1,0,0,0,1,122,102,10,0,-122,-102,-10,False,Non-AD
2335,807,16717,300,7181,True,1715075,4.832472085952759,1,0,0,0,1,25,48,51,0,-25,-48,-51,False,Non-AD
2597,689,17673,300,9548,True,5329166,11.285393953323364,1,0,0,0,1,29,34,86,0,-29,-34,-86,False,Non-AD
3192,999,17814,300,10237,True,5671412,11.453809976577759,1,0,0,0,1,17,37,63,0,-17,-37,-63,False,Non-AD
5245,1130,17876,300,9525,True,4122075,8.902800798416138,1,0,0,0,1,15,50,132,0,-15,-50,-132,False,Non-AD
8945,752,16435,300,5567,True,847666,3.7042951583862305,1,0,0,0,1,40,71,53,0,-40,-71,-53,False,Non-AD
999,720,15450,300,4228,True,128292,2.8375837802886963,1,0,0,0,1,76,196,45,0,-76,-196,-45,False,Non-AD
3190,720,17535,300,9544,True,7300408,14.439205884933472,1,0,0,0,1,28,67,54,0,-28,-67,-54,False,Non-AD
4343,1287,17090,300,4541,True,532139,3.582710027694702,1,0,0,0,2,74,67,29,-1,-74,-67,-29,False,Non-AD
1915,709,17053,300,6155,True,3920027,8.514657020568848,1,0,0,0,1,61,47,22,0,-61,-47,-22,False,Non-AD
5347,825,16413,300,5231,True,321948,3.308103084564209,1,0,0,0,1,72,177,99,0,-72,-177,-99,False,Non-AD
6780,1528,17596,300,6907,True,1156311,4.19025731086731,1,0,0,0,1,28,91,129,0,-28,-91,-129,False,Non-AD
8451,825,17179,300,6256,True,1756250,4.876844167709351,1,0,0,0,1,18,45,26,0,-18,-45,-26,False,Non-AD
8826,560,16809,300,8892,True,2588087,6.192095994949341,1,0,0,0,1,23,81,197,0,-23,-81,-197,False,Non-AD
55054,1137,16927,300,4305,True,142112,3.046351909637451,1,0,0,0,1,83,152,89,0,-83,-152,-89,False,Non-AD
65992,1249,17386,300,7235,True,1605096,4.806915998458862,1,0,0,0,1,16,91,92,0,-16,-91,-92,False,Non-AD
1540,855,16760,300,7066,True,1401549,4.512731075286865,1,0,0,0,1,17,64,27,0,-17,-64,-27,False,Non-AD
1856,535,15539,300,4222,True,160309,2.922719955444336,1,0,0,0,1,102,200,66,0,-102,-200,-66,False,Non-AD
